Name,Property Name,Price URL,Price Offers,Trial Offer
Oxylabs,Proxy Extension,,"Free
",
Rayobyte,Residential Proxy,,"1-15 GB: $7.50/GB
16-49 GB: $6.25/GB
50-99 GB: $3.50/GB
100-249 GB: $3/GB
250-499 GB: $2.50/GB
500-999 GB: $2/GB
1-4.9 TB: $1.5/GB
",50 MB free trial
Rayobyte,Datacenter Proxy,,"5 US Dedicated IPs Plan:
$12.5/Mo: $2.50/IP
$35.70/3 Mo: $2.38/IP
$67.50/6 Mo: $2.25/IP
$127.80/12 Mo: $2.13/IP

5 US Rotating IPs Plan:
$18.75/Mo: $3.75/IP
$53.40/3 Mo: $3.56/IP
$101.40/6 Mo: $3.38/IP
$191.40/12 Mo: $3.19/IP

5 US Semi-Dedicated IPs Plan:
$5.00/Mo: $1.00/IP
$14.25/3 Mo: $0.95/IP
$27.00/6 Mo: $0.90/IP
$191.40/12 Mo: $3.19/IP

5 US Ipv6 Proxies Plan:
$1.00/Mo: $0.20/IP
$2.85/3 Mo: $0.19/IP
$5.40/6 Mo: $0.18/IP
$10.20/12 Mo: $0.17/IP
",
Rayobyte,Mobile Proxy,,"$50/Mo: $25/GB
$300/Mo: $20/GB
$600/Mo: $15/GB
",2-day free trial
Rayobyte,ISP Proxy,,"Per Month: $2.5/IP
5-99 IPs: $5/IP
100-999 IPs: $4.8/IP
1,000-4,999 IPs: $4.6/IP
",
Stormproxies,Rotating Reverse Proxy,,"40 Threads: $39/Mo
80 Threads: $59/Mo 
150 Threads: $97/Mo 
",48-hour money-back
Stormproxies,Residential Proxy,,"$50/Mo: $10/Port
$90/Mo: $9/Port
$160/Mo: $8/Port
$300/Mo: $6/Port
",48-hour money-back
Stormproxies,Sneaker Proxy,,"$160/Mo: $8/Port
$300/Mo: $6/Port
$550/Mo: $5.5/Port
$900/Mo: $4.5/Port
",48-hour money-back
Stormproxies,Ticketmaster Proxy,,"$160/Mo: $8/Port
$300/Mo: $6/Port
$550/Mo: $5.5/Port
$900/Mo: $4.5/Port
",48-hour money-back
Stormproxies,Private Proxy,,"$10/Mo: $2/IP
$20/Mo: $2/IP
$40/Mo: $2/IP
$60/Mo: $2/IP
$90/Mo: $1.8/IP
$160/Mo: $1.6/IP
$320/Mo: $1.6/IP
$640/Mo: $1.4/IP
",48-hour money-back
ProxyRack,Private Unmetered Residential Proxy,,"Monthly Plan:
$65.95/5 Ports: $13.19/Port
$149.95/15Ports: $10/Port
$229.95/25Ports: $9.20/Port
$419.95/50Ports: $8.40/Port
$749.95/100Ports: $7.50/Port

Yearly Plan:
$659.50/5 Ports: $10.99/Port/Mo
$1,499.95/15 Ports: $8.33/Port/Mo
$2,299.50/25 Ports: $7.67/Port/Mo
$4,199.50/25 Ports: $7.00/Port/Mo
$7,499.50/100 Ports: $6.25/Port/Mo
",$13.95 /7 days with 5 port
ProxyRack,"
Premium Residential Proxy",,"$49.95/10 GB: $5/GB
$89.95/20 GB: $4.5/GB
$199.95/50 GB: $4/GB
$349.95/100 GB: $3.5/GB
$599.95/200 GB: $3/GB
$1,249.95/500 GB: $2.5/GB
$2,249.95/1000 GB: $2.25/GB
",$13.95 /7 days with 1GB
ProxyRack,USA Rotating Datacenter Proxy,,"Monthly Plan:
$75/100 Threads: $0.80/Thread
$140/250 Threads: $0.60/Thread
$240/500 Threads: $0.50/Thread
$440/1000 Threads: $0.50/Thread
$590/1500 Threads: $0.40/Thread
$680/2000 Threads: $0.40/Thread

Yearly Plan:
$650/100 Threads: $0.54/Thread/Mo
$1,200/250 Threads: $0.40/Thread/Mo
$2,200/500 Threads: $0.37/Thread/Mo
$4,100/1000 Threads: $0.34/Thread/Mo
$5,600/1500 Threads: $0.31/Thread/Mo
$6,500/2000 Threads: $0.27/Thread/Mo
",$13.95 /7 days with 250 threads
ProxyRack,Global Rotating Datacenter Proxy,,"Monthly Plan:
$75/100 Threads: $0.75/Thread
$140/250 Threads: $0.56/Thread
$240/500 Threads: $0.48/Thread
$440/1000 Threads: $0.39/Thread
$590/1500 Threads: $0.75/Thread
$680/2000 Threads: $0.34/Thread

Yearly Plan:
$650/100 Threads: $0.54/Thread/Mo
$1,200/250 Threads: $0.40/Thread/Mo
$2,200/500 Threads: $0.0.37/Thread/Mo
$4,100/1000 Threads: $0.34/Thread/Mo
$5,600/1500 Threads: $0.31/Thread/Mo
$6,500/2000 Threads: $0.27/Thread/Mo
",$13.95 /7 days with 250 threads
ProxyRack,Static USA Datacenter Proxy,,"$50/100 IPs: $0.50/IP
$80/200 IPs: $0.40/IP
$150/500 IPs: $0.30/IP
$300/1000 IPs: $0.30/IP
$540/2000 IPs: $0.27/IP
$1,250/5000 IPs: $0.25/IP
",$13.95 /7 days with 100 IPs
Froxy,Residential Proxy,,"$8/mo: $8/GB
$21/mo: $7/GB
$45/mo: $6.43/GB
$150/mo: $5/GB
$200/mo: $4/GB
$3000/mo: $2.93/GB
",3-day trial 100 MB of $1.99
Froxy,Mobile Proxy,,"$11/mo: $11/GB
$20/mo: $10/GB
$45/mo: $9/GB
$85/mo: $8.5/GB
$150/mo: $7.5/GB
$700/mo: $7/GB
",3-day trial 100 MB of $1.99
